Logische Periode ; Endzeitstempel ; Wert ; Status ; Tarif 
04.01.2017;07:30:00;1.415,00;W;T0 
04.01.2017;07:45:00;1.340,00;W;T0 
04.01.2017;08:00:00;1.347,50;W;T0 
04.01.2017;08:15:00;1.187,50;W;T0 
04.01.2017;08:30:00;1.010,00;W;T0 
04.01.2017;08:45:00;865;W;T0 
04.01.2017;09:00:00;967,5;W;T0 
04.01.2017;09:15:00;927,5;W;T0 
04.01.2017;09:30:00;840;W;T0 
04.01.2017;09:45:00;1.200,00;W;T0 
04.01.2017;10:00:00;1.292,50;W;T0 
04.01.2017;10:15:00;1.397,50;W;T0 
04.01.2017;10:30:00;1.360,00;W;T0 
04.01.2017;10:45:00;1.410,00;W;T0 
04.01.2017;11:00:00;1.357,50;W;T0 
04.01.2017;11:15:00;1.437,50;W;T0 
04.01.2017;11:30:00;1.450,00;W;T0 
04.01.2017;11:45:00;1.465,00;W;T0 
04.01.2017;12:00:00;1.435,00;W;T0 
04.01.2017;12:15:00;1.425,00;W;T0 
04.01.2017;12:30:00;1.442,50;W;T0 
04.01.2017;12:45:00;1.427,50;W;T0 
04.01.2017;13:00:00;1.387,50;W;T0 
04.01.2017;13:15:00;1.392,50;W;T0 
04.01.2017;13:30:00;1.435,00;W;T0 
04.01.2017;13:45:00;1.407,50;W;T0 
04.01.2017;14:00:00;1.407,50;W;T0 
04.01.2017;14:15:00;1.360,00;W;T0 
04.01.2017;14:30:00;1.357,50;W;T0 
04.01.2017;14:45:00;1.412,50;W;T0 
04.01.2017;15:00:00;1.397,50;W;T0 
04.01.2017;15:15:00;1.265,00;W;T0 
04.01.2017;15:30:00;927,5;W;T0 
04.01.2017;15:45:00;1.055,00;W;T0 
04.01.2017;16:00:00;1.130,00;W;T0 
04.01.2017;16:15:00;800;W;T0 
04.01.2017;16:30:00;927,5;W;T0 
04.01.2017;16:45:00;950;W;T0 
04.01.2017;17:00:00;897,5;W;T0 
04.01.2017;17:15:00;785;W;T0 
04.01.2017;17:30:00;635;W;T0 
04.01.2017;17:45:00;995;W;T0 
04.01.2017;18:00:00;807,5;W;T0 
04.01.2017;18:15:00;1.025,00;W;T0 
04.01.2017;18:30:00;1.157,50;W;T0 
04.01.2017;18:45:00;1.070,00;W;T0 
04.01.2017;19:00:00;1.112,50;W;T0 
04.01.2017;19:15:00;1.115,00;W;T0 
04.01.2017;19:30:00;1.035,00;W;T0 
04.01.2017;19:45:00;1.120,00;W;T0 
04.01.2017;20:00:00;752,5;W;T0 
04.01.2017;20:15:00;697,5;W;T0 
04.01.2017;20:30:00;650;W;T0 
04.01.2017;20:45:00;650;W;T0 
04.01.2017;21:00:00;732,5;W;T0 
04.01.2017;21:15:00;740;W;T0 
04.01.2017;21:30:00;562,5;W;T0 
04.01.2017;21:45:00;747,5;W;T0 
04.01.2017;22:00:00;635;W;T0 
04.01.2017;22:15:00;612,5;W;T0 
04.01.2017;22:30:00;690;W;T0 
04.01.2017;22:45:00;705;W;T0 
04.01.2017;23:00:00;630;W;T0 
04.01.2017;23:15:00;392,5;W;T0 
04.01.2017;23:30:00;392,5;W;T0 
04.01.2017;23:45:00;402,5;W;T0 
05.01.2017;00:00:00;607,5;W;T0 
05.01.2017;00:15:00;580;W;T0 
05.01.2017;00:30:00;752,5;W;T0 
05.01.2017;00:45:00;635;W;T0 
05.01.2017;01:00:00;802,5;W;T0 
05.01.2017;01:15:00;632,5;W;T0 
05.01.2017;01:30:00;577,5;W;T0 
05.01.2017;01:45:00;457,5;W;T0 
05.01.2017;02:00:00;420;W;T0 
05.01.2017;02:15:00;420;W;T0 
05.01.2017;02:30:00;292,5;W;T0 
05.01.2017;02:45:00;460;W;T0 
05.01.2017;03:00:00;627,5;W;T0 
05.01.2017;03:15:00;592,5;W;T0 
05.01.2017;03:30:00;637,5;W;T0 
05.01.2017;03:45:00;732,5;W;T0 
05.01.2017;04:00:00;712,5;W;T0 
05.01.2017;04:15:00;632,5;W;T0 
05.01.2017;04:30:00;547,5;W;T0 
05.01.2017;04:45:00;567,5;W;T0 
05.01.2017;05:00:00;717,5;W;T0 
05.01.2017;05:15:00;807,5;W;T0 
05.01.2017;05:30:00;690;W;T0 
05.01.2017;05:45:00;855;W;T0 
05.01.2017;06:00:00;865;W;T0 
05.01.2017;06:15:00;840;W;T0 
05.01.2017;06:30:00;860;W;T0 
05.01.2017;06:45:00;1.065,00;W;T0 
05.01.2017;07:00:00;1.110,00;W;T0 
05.01.2017;07:15:00;1.065,00;W;T0 
05.01.2017;07:30:00;1.212,50;W;T0 
05.01.2017;07:45:00;1.225,00;W;T0 
05.01.2017;08:00:00;1.100,00;W;T0 
05.01.2017;08:15:00;1.157,50;W;T0 
05.01.2017;08:30:00;1.000,00;W;T0 
05.01.2017;08:45:00;960;W;T0 
05.01.2017;09:00:00;922,5;W;T0 
05.01.2017;09:15:00;670;W;T0 
05.01.2017;09:30:00;560;W;T0 
05.01.2017;09:45:00;592,5;W;T0 
05.01.2017;10:00:00;712,5;W;T0 
05.01.2017;10:15:00;622,5;W;T0 
05.01.2017;10:30:00;652,5;W;T0 
05.01.2017;10:45:00;737,5;W;T0 
05.01.2017;11:00:00;642,5;W;T0 
05.01.2017;11:15:00;535;W;T0 
05.01.2017;11:30:00;342,5;W;T0 
05.01.2017;11:45:00;357,5;W;T0 
05.01.2017;12:00:00;440;W;T0 
